wiscwaterlevelid,clusterid_dtw1_4,SiteID,SiteType,Latitude,Longitude,clusterid_dtw1_3,clusterid_dtw2_4
1,2,1000800,Lake,44.2069057,-89.45531352,3,4
2,4,1012000,Lake,44.13008866,-89.50988124,2,3
3,4,101300,Lake,44.13763197,-89.2906228,3,3
4,4,102100.4,Lake,44.06916056,-89.26226249,2,3
5,4,102900,Lake,44.04305832,-89.21679462,3,3
6,4,103900.4,Lake,44.06590828,-89.23238535,2,3
7,4,104600,Lake,44.02402792,-89.20872596,3,4
8,4,105200,Lake,44.04569543,-89.21047952,1,3
9,2,105800.4,Lake,44.10928491,-89.38854788,3,4
10,4,106900.4,Lake,43.98497303,-89.55201905,3,3
11,4,107900,Lake,44.05476309,-89.23386028,1,3
12,4,117400.4,Lake,44.03343979,-89.3041395,2,3
13,4,131100,Lake,44.00970626,-88.5273365,2,3
14,1,146100,Lake,43.79888889,-89.0347222,2,1
15,4,149000,Lake,44.01115491,-89.16072991,1,2
16,4,156300,Lake,44.00374604,-89.4289594,2,3
17,4,1631900,Lake,46.1216185,-89.1520804,3,3
18,4,182100.4,Lake,44.1516018,-89.16386665,2,3
19,4,182300.4,Lake,44.23591107,-89.14031928,1,2
20,2,1835300.2,Lake,46.008472,-89.629379,3,4
21,2,1842400.2,Lake,45.999642,-89.610408,3,4
22,4,186400.4,Lake,44.21267758,-89.16930289,2,3
23,3,1881900,Lake,46.006239,-89.695876,1,2
24,4,189600,Lake,44.17085723,-89.164774,2,3
25,4,190200.4,Lake,44.14761258,-89.1524778,2,3
26,4,191100.4,Lake,44.21630946,-89.12494537,3,4
27,4,195400,Lake,44.08860619,-89.11802775,1,3
28,4,196100.4,Lake,44.23275643,-89.16245575,1,3
29,4,197300.4,Lake,44.16246304,-89.16177896,2,3
30,3,2014700,Lake,46.040778,-89.685547,1,2
31,2,2017500,Lake,46.007941,-89.606314,3,4
32,4,2331600.2,Lake,46.012891,-89.671613,1,2
33,1,2332400,Lake,46.033973,-89.630228,1,2
34,4,245800,Lake,44.08033239,-89.21079644,2,3
35,4,246900,Lake,44.09625569,-89.22236325,1,2
36,4,247200,Lake,44.14268002,-89.2169887,2,3
37,4,247700,Lake,44.16952978,-89.21019065,2,3
38,2,2496300,Lake,45.74605938,-91.9168423,3,4
39,4,250000.4,Lake,44.17482414,-89.17396074,2,3
40,1,758300,Lake,42.5580723,-88.5426,2,1
41,1,761700,Lake,42.81334964,-88.1420325,2,1
42,1,778300.1,Lake,43.0475,-88.4797222,2,1
43,1,802600,Lake,42.95416667,-89.2797222,2,1
44,1,803700,Lake,43.00888889,-89.3052778,2,1
45,1,804600,Lake,43.0633297,-89.3970636,2,1
46,1,805400,Lake,43.09832875,-89.4078969,2,1
47,1,808700,Lake,42.85750645,-88.9409429,2,1
48,2,968800.1,Lake,45.95013889,-89.05425,3,4
49,1,980900.1,Lake,43.42638889,-89.7277778,2,3
50,2,985000,Lake,44.1188627,-89.477621,3,4
51,2,994900,Lake,44.19563889,-89.4174722,3,4
52,2,994900.4,Lake,44.19343292,-89.41796271,3,4
53,1,AD-17/06E/08-0076,Well,43.9667,-89.81727,2,1
54,3,AS-43/02W/21-0054,Well,46.18579,-90.62518,1,2
55,1,BN-25/20E/14-0890,Well,44.64249,-88.03844,2,1
56,3,BR-34/10W/22-0153,Well,45.40829,-91.59239,1,2
57,3,BT-39/16W/17-0002,Well,45.87379,-92.36564,1,2
58,2,CH-28/07W/17-0142,Well,44.91079,-91.26599,3,4
59,1,CO-12/09E/27-0620,Well,43.48915,-89.41651,2,1
60,1,CR-09/06W/27-0059,Well,43.22554,-91.07624,2,1
61,3,D3,Well,46.0336,-89.653067,1,2
62,1,DG-11/13E/23-0081,Well,43.40425,-88.92394,2,1
63,1,DN-05/08E/06-0927,Well,42.94139,-89.59429,2,1
64,1,DN-06/08E/15-1289,Well,42.9997222,-89.5270556,2,1
